sku,nombre_producto,Descripciones,nombre_variante,grupo_variante,presentacion,color,categoria,subcategoria,precio_cop,stock,gestionar_stock,peso_kg,codigo_industrial,url_slug,imagen_principal,galeria_imagenes,usos,caracteristicas,modo_empleo,aplicacion_faq,pre_tratamiento,ficha_tecnica_url,ghs_pictogramas,precauciones_h,consejos_prudencia_p,estado
MA-BL-120,Maxón Blanco,,Maxón Blanco 120cc,MA-BL,120cc,,calzado,marroquinería,,0,1,,1122010102,maxon-blanco-120cc,products/maxon-blanco/120-01.jpg,products/maxon-blanco/120-02.jpg|products/maxon-blanco/120-03.jpg,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,"Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\\circ",,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígad,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas",
MA-BL-375,Maxón Blanco,,Maxón Blanco 375cc,MA-BL,375cc,,Calzado,marroquinería,,0,1,,1122010104,maxon-blanco-375cc,products/maxon-blanco/375-01.jpg,products/maxon-blanco/
ucts/maxon-blanco/375-03.jpg,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,"Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\\circ",,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígad,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas",
MA-BL-750,Maxón Blanco,,Maxón Blanco 750cc,MA-BL,750cc,,Calzado,marroquinería,,0,1,,1122010109,maxon-blanco-750cc,products/maxon-blanco/750-01.jpg,products/maxon-blanco/750-02.jpg|products/maxon-blanco/750-03.jpg,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,"Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\\circ",,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígad,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas",
MA-BL-036,Maxón Blanco,,Maxón Blanco 3.6L,MA-BL,3.6L,,Calzado,marroquinería,,0,1,,1122010118,maxon-blanco-3-6l,products/maxon-blanco/036-01.jpg,products/maxon-blanco/036-02.jpg|products/maxon-blanco/036-03.jpg,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,"Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\\circ",,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígad,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas",
MA-BL-043,Maxón Blanco,,Maxón Blanco 4.3 Gal,MA-BL,4.3 Gal,,Calzado,marroquinería,,0,1,,1122010127,maxon-blanco-4-3-gal,products/maxon-blanco/043-01.jpg,products/maxon-blanco/043-02.jpg|products/maxon-blanco/043-03.jpg,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,"Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\\circ",,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígad,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas",
MA-BL-080,Maxón Blanco,,Maxón Blanco 8 Gal,MA-BL,8 Gal,,Calzado,marroquinería,,0,1,,1122010183,maxon-blanco-8-gal,products/maxon-blanco/080-01.jpg,products/maxon-blanco/080-02.jpg|products/maxon-blanco/080-03.jpg,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,"Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\\circ",,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígad,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas",
MA-BL-530,Maxón Blanco,,Maxón Blanco 53 Gal,MA-BL,53 Gal,,Calzado,marroquinería,,0,1,,1122010152,maxon-blanco-53-gal,products/maxon-blanco/530-01.jpg,products/maxon-blanco/530-02.jpg|products/maxon-blanco/530-03.jpg,ADHESIVO PU,Mayor viscosidad Amplio tiempo abierto Alta fuerza inicial y final,"Preparar: Materiales exentos de polvo, grasas, aceites y tintas. Trate las superficies según el material. 2. Aplicar: Capa uniforme en ambas caras con brocha, cepillo, espíatula o aplicador cerrado. 3. Secado: Deje secar (mínimo 30 min / máximo 72 horas). Reactive ambas caras con calor ( $55^{\\circ",,,,GHS02|GHS07|GHS08,H225: Líquido y vapores muy inflamables. H304: Mortal por ingestión y penetración en vías respiratorias. H315: Irritación cutánea. H319: Irritación ocular grave. H336: Puede provocar somnolencia o vértigo. H373: Puede provocar daños en órganos (hígad,"P102: Mantener fuera del alcance de los niños. P210: Mantener alejado de calor, chispas y llamas",
MA-RP-375,Maxón Rápido,,Maxón Rápido 375cc,MA-RP,375cc,,CALZADO,Ensuelado,,0,1,,1122010504,maxon-rapido-375cc,products/maxon-rapido/375-01.jpg,products/maxon-rapido/375-02.jpg|products/maxon-rapido/375-03.jpg,ADHESIVO PU,Mayor viscosidad Secado rápido Alta fuerza inicial y final,"Preparar: asegure que las superficies estén limpias y libres de polvo, grasa, aceites o tintas, y realice el pretratamiento según el material",,,,,,,
MA-RP-750,Maxón Rápido,,Maxón Rápido 750cc,MA-RP,750cc,,CALZADO,Ensuelado,,0,1,,1122010509,maxon-rapido-750cc,products/maxon-rapido/750-01.jpg,products/maxon-rapido/750-02.jpg|products/maxon-rapido/750-03.jpg,ADHESIVO PU,Mayor viscosidad Secado rápido Alta fuerza inicial y final,"Preparar: asegure que las superficies estén limpias y libres de polvo, grasa, aceites o tintas, y realice el pretratamiento según el material",,,,,,,
